Disease_Name,General_Symptom,Male_Symptoms,Female_Symptoms
Diabetes,"increased hunger, increased thirst, weight loss, frequent urination, blurry vision, fatigue, sores that donâ€™t heal","a decreased sex drive, erectile dysfunction, body ache","vaginal dryness, urinary tract infections, yeast infections, dry, itchy skin"
Asthma,"coughing, chest pain, shortness of breath, difficulty talking, anxiety, fatigue, chest pain, rapid breathing, frequent infections, insomnia",,
Arthritis,"limited range of motion, clicking or popping with bending, body ache, instability of joint, bony growths in the fingers, grating or scraping feeling in the knees",,
Malaria,"chills, fever, sweating, headache, nausea, vomiting, abdominal pain, diarrhea, anemia, body ache, convulsions, coma, bloody stools",,
Hepatitis,"fatigue, dark urine, pale stool, abdominal pain, loss of appetite, weight loss, yellow skin and eyes",,
Pneumonia,"coughing, mucus, fever, chills, shortness of breath, chest pain, fatigue, loss of appetite, nausea or vomiting, headaches",,
Tuberculosis,"fatigue, fever, chills, sweats, appetite loss, weight loss",,
Sickle cell anemia,"fatigue, irritability, fussiness, bedwetting, jaundice, swelling, pain in hands and feet, frequent infections, chest pain ",,
Thalassemia,"bone deformities in face, dark urine, delayed growth and development, fatigue, yellow or pale skin",,
Leukemia,"fatigue, fever, sweats, easy bruising or bleeding aching in joints or bones, frequent infections, weight loss, shortness of breath",,
Lymphoma,"chills, coughing, fatigue, enlarged spleen, fever, sweats, rash, shortness of breath, stomach pain, loss of appetite, weight loss",,
Prostate cancer,"pain, frequent urination, urination that burns, difficulty with starting urine flow, weak flow,  blood in the urine",,
Colon cancer,"constipation, diarrhea, changes in stool color, blood in the stool, bleeding from the rectum, excessive gas, abdominal cramps, abdominal pain",,